127.0.0.1 - - [21/Mar/2025:14:33:14 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:33:15 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:43:06 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:43:06 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:43:10 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=2 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:08 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:11 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=1 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:15 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=2 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:17 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=2 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:54 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:44:57 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=2 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:45:02 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:47:13 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:47:16 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=3 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:47:17 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 7010
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:06 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=14 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:08 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:52 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=13 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:53 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:56 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=12 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:50:57 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6787
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:02 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=11 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:03 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:07 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=10 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:08 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6639
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:15 +0900] "GET /project_mvc1_milk/milk_delete.jsp?ono=9 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:51:17 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [21/Mar/2025:15:06:24 +0900] "GET /jsp_basic/jsp_basic/jsp015_control.jsp HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [21/Mar/2025:15:06:50 +0900] "GET /jsp_basic/jsp_basic/jsp015_control.jsp HTTP/1.1" 200 4073
